File_name   Scan_number     r_wp  scale_total scale_LFP    lp1_a       lp1_b       lp1_c       rbragg_1     wp_1     lp2_a        lp2_b        lp2_c        rbragg_2     wp_2
scan-0116_TT_00135.xy  00135      6.17879 0.000000000588     0.77370    10.33356     5.98378     4.72736     3.94431    79.65373    10.00611     5.65388     4.71988     4.56218    20.34627
scan-0116_TT_00136.xy  00136      6.02864 0.000000000496     1.74447    10.31700     5.97715     4.72110     3.11165   164.57801     9.85164     5.90520     4.81303   100.00000   -64.57801
scan-0116_TT_00137.xy  00137      6.18732 0.000000000484     1.45414    10.32773     5.98249     4.71923     3.73638   139.40283     9.87060     5.82208     4.80344   100.00000   -39.40283
scan-0116_TT_00138.xy  00138      6.28567 0.000000000634     1.17114    10.35146     5.98207     4.72909     3.85356   115.19107     9.86750     5.82695     4.80773   100.00000   -15.19107
scan-0116_TT_00139.xy  00139      4.63403 0.000000008546     1.07713    13.42897     4.91766     3.44055     1.36384   108.60112     9.76397     5.82538     4.62129   100.00000    -8.60112
scan-0116_TT_00140.xy  00140      6.15833 0.000000000587     0.73624    10.32892     6.01862     4.72611     3.61804    76.15352     9.98801     5.70486     4.71429     4.78758    23.84648
scan-0116_TT_00141.xy  00141      5.62462 0.000000000448     1.78162    10.30931     5.95790     4.73595     3.20935   165.85163     9.83782     5.83505     4.79728   100.00000   -65.85163
scan-0116_TT_00142.xy  00142      5.92301 0.000000000344     1.72252    10.32614     5.98233     4.69088     3.55313   160.76765     9.78865     5.91176     4.72012   100.00000   -60.76765
scan-0116_TT_00143.xy  00143      5.04655 0.000000015426     0.98763    13.45464     4.37526     3.86019     1.75303    98.61116     9.99681     5.67240     4.71229     2.79652     1.38884
scan-0116_TT_00144.xy  00144      6.27365 0.000000000516     1.45123    10.31415     5.98800     4.72862     3.78583   139.88377     9.88080     5.89824     4.80666   100.00000   -39.88377
scan-0116_TT_00145.xy  00145      5.49976 0.000000000337     2.15498    10.32507     5.98525     4.67112     3.10940   195.66608     9.86057     5.80093     4.81559   100.00000   -95.66608
scan-0116_TT_00146.xy  00146      5.80962 0.000000000385     1.63079    10.33511     5.97181     4.69372     3.54903   153.15060     9.74614     5.80024     4.80953   100.00000   -53.15060
scan-0116_TT_00147.xy  00147      6.25089 0.000000000380     0.88926    10.35390     5.97743     4.70394     4.02225    89.91429     9.83009     5.83642     4.78110     4.94443    10.08571
scan-0116_TT_00148.xy  00148      5.48406 0.000000000122     3.43546    10.33908     5.98701     4.73289     3.21500   277.66870     9.93455     5.80839     4.79340   100.00000  -177.66870
scan-0116_TT_00149.xy  00149      5.57998 0.000000000922     0.76620    10.29119     5.98543     4.74357     3.38761    79.01741     9.87413     5.66155     4.75779     4.56540    20.98259
scan-0116_TT_00150.xy  00150      5.39919 0.000000000524     1.56497    10.31150     5.96783     4.72766     3.16546   149.78700     9.86383     5.89976     4.81467   100.00000   -49.78700
scan-0116_TT_00151.xy  00151     55.59867 -0.000000001851     2.47927    10.36914     6.02684     4.61884   100.00000 -8357239687714.36720     9.95629     5.75059     4.83135    59.15446 4568346795801.02340
scan-0116_TT_00152.xy  00152     53.11361 -0.000000003870     0.47392    10.47778     5.97528     4.58559   100.00000 -3322959346356.19580     9.50211     6.01148     5.02628   100.00000 -3526550965983.89990
scan-0116_TT_00153.xy  00153     41.23144 -0.000000000853     4.34067    10.39876     5.95165     4.61803   100.00000 -6680605504376.47070     9.96491     5.74996     4.83316    34.18253 4762602558152.56840
scan-0116_TT_00154.xy  00154     21.09277 0.000000000280     6.66745    10.20752     5.95100     4.81587    19.60860   514.96941     9.54562     5.99354     5.07043   100.00000  -414.96941
scan-0116_TT_00155.xy  00155      8.17061 0.000000000279     2.62509    10.21838     5.96793     4.80987     5.07995   221.72998     9.80930     5.79839     4.78382   100.00000  -121.72998
